NO2,SO2,CO,O3,Aerosol_Index,location
4.465e-05,-0.000421426,0.039217789,0.134119702,-1.040775736,"Anand Vihar, Delhi"
4.86e-05,-0.000102573,0.038925055666666666,0.13486883,-1.619850993,"Anand Vihar, Delhi"
3.9200000000000004e-05,0.0003298205,0.03863232233333334,0.13547524049999998,-0.678138703,"Anand Vihar, Delhi"
2.98e-05,0.000762214,0.038339589,0.136081651,0.263573587,"Anand Vihar, Delhi"
4.51e-05,-1.07e-05,0.03784119,0.139975682,-0.209514484,"Anand Vihar, Delhi"
4.78e-05,0.000819158,0.037185773,0.134413898,-0.880145371,"Anand Vihar, Delhi"
4.38e-05,0.000457766,0.038311173,0.138435934,-1.021919604,"Anand Vihar, Delhi"
2.89e-05,0.001047802,0.037347285,0.139831061,-0.19217022,"Anand Vihar, Delhi"
4.255e-05,0.0007722919999999999,0.036383397,0.1367980195,-0.05399252500000001,"Anand Vihar, Delhi"
5.62e-05,0.000496782,0.035419509,0.133764978,0.08418517,"Anand Vihar, Delhi"
5.67e-05,0.000506283,0.037457533,0.131521553,-0.030832995,"Anand Vihar, Delhi"
6.83e-05,0.000411767,0.041985154,0.131776139,-0.750998499,"Anand Vihar, Delhi"
5.9833333333333335e-05,0.00026111133333333334,0.040745827,0.13211231499999998,-0.3864294126666667,"Anand Vihar, Delhi"
5.1366666666666664e-05,0.00011045566666666667,0.0395065,0.132448491,-0.021860326333333346,"Anand Vihar, Delhi"
4.29e-05,-4.02e-05,0.038267173,0.132784667,0.34270876,"Anand Vihar, Delhi"
5.72e-05,-0.000176014,0.036151543,0.139864,-0.529469166,"Anand Vihar, Delhi"
4.71e-05,0.000378658,0.039866928,0.142698859,-1.580159141,"Anand Vihar, Delhi"
5.34e-05,0.000150567,0.040211378500000006,0.134981781,-1.371666551,"Anand Vihar, Delhi"
6.12e-05,0.00018129833333333333,0.040555829,0.133862439,-1.1457194435,"Anand Vihar, Delhi"
6.9e-05,0.00021202966666666667,0.0409002795,0.132743097,-0.919772336,"Anand Vihar, Delhi"
7.68e-05,0.000242761,0.04124473,0.132391924,-0.431151833,"Anand Vihar, Delhi"
6.965e-05,-0.000791939,0.039873961,0.133840963,-1.981660485,"Anand Vihar, Delhi"
6.25e-05,0.000550999,0.043736476,0.136037156,-1.499469161,"Anand Vihar, Delhi"
6.27e-05,0.000745107,0.04385794666666667,0.134801313,-1.276143074,"Anand Vihar, Delhi"
5.8250000000000006e-05,0.0004010035,0.04397941733333333,0.1341067775,-1.157243788,"Anand Vihar, Delhi"
5.38e-05,5.69e-05,0.044100888,0.133412242,-1.038344502,"Anand Vihar, Delhi"
7.74e-05,-7.72e-05,0.047669236,0.132465944,-0.57609421,"Anand Vihar, Delhi"
7.03e-05,-0.00016140166666666668,0.04491571,0.13255234066666666,-0.48434013133333337,"Anand Vihar, Delhi"
6.32e-05,-0.0002456033333333334,0.042162184,0.13263873733333334,-0.3925860526666667,"Anand Vihar, Delhi"
5.61e-05,-0.000329805,0.039408658,0.132725134,-0.300831974,"Anand Vihar, Delhi"
5.84e-05,0.000617989,0.040670536,0.141907096,-1.007516742,"Anand Vihar, Delhi"
5.9425e-05,0.0006127935,0.04178016325,0.135577563,-2.039503711,"Anand Vihar, Delhi"
6.0450000000000006e-05,0.000607598,0.0428897905,0.13576783166666667,-1.331766525,"Anand Vihar, Delhi"
6.1475e-05,0.0006024025,0.04399941775,0.13595810033333333,-0.624029339,"Anand Vihar, Delhi"
6.25e-05,0.000597207,0.045109045,0.136148369,0.083707847,"Anand Vihar, Delhi"
6.31e-05,0.0004233756,0.044575931,0.137508646,-0.698073685,"Anand Vihar, Delhi"
6.37e-05,0.0002495442,0.044042817,0.134350151,-1.574176292,"Anand Vihar, Delhi"
6.686666666666667e-05,7.571279999999997e-05,0.043509703,0.131191656,-0.668734312,"Anand Vihar, Delhi"
7.003333333333333e-05,-9.81186e-05,0.0466608705,0.133174628,-2.052651167,"Anand Vihar, Delhi"
7.32e-05,-0.00027195,0.049812038,0.130101056,0.035571981,"Anand Vihar, Delhi"
8.69545e-05,-0.0003004735,0.045542285,0.130601257,-0.100993532,"Anand Vihar, Delhi"
0.000100709,-0.000328997,0.041272532,0.131101458,-0.237559045,"Anand Vihar, Delhi"
8.11e-05,0.000277694,0.045175452,0.130534234,-0.729891076,"Anand Vihar, Delhi"
9.43e-05,0.000362887,0.044496059666666664,0.131977051,0.059721194,"Anand Vihar, Delhi"
9.73675e-05,-6.773199999999998e-05,0.04381666733333334,0.1305838075,0.074123088,"Anand Vihar, Delhi"
